HAUPTNR,TITEL,JAHR,URL,NAMIDENT,AUSST_DATUM,AUSST_ORT,AUSST_TITEL
6005092,Samoëns,1882,http://server1102.cs.technik.fhnw.ch/bilder/035669E1.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
6004850,"Thunersee mit Stockhornkette am Abend",1910,http://server1102.cs.technik.fhnw.ch/bilder/058847E1.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
6008386,"Der Holzfäller",1910,http://server1102.cs.technik.fhnw.ch/bilder/040451E1.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
6005175,"Landschaft bei Madrid",1878,http://server1102.cs.technik.fhnw.ch/bilder/043563E4.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
6005259,"Tanne am Bach",1910,http://server1102.cs.technik.fhnw.ch/bilder/009180E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6004886,"Thunersee mit Niesen",1910,http://server1102.cs.technik.fhnw.ch/bilder/009178E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6004839,"Thunersee mit Stockhornkette in Wolken",1912,http://server1102.cs.technik.fhnw.ch/bilder/009232E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6005091,"Weiden an der Jonction",1878,http://server1102.cs.technik.fhnw.ch/bilder/033942E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6005278,"Mühlebach bei Langenthal",1876,http://server1102.cs.technik.fhnw.ch/bilder/040459E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
6004777,Gantrischkette,1901,http://server1102.cs.technik.fhnw.ch/bilder/035302E1.jpg,"Hodler, Ferdinand",8.11.1990-14.12.1990,"Santiago de Chile","Ferdinand Hodler. Coleccion Adda y Max Schmidheiny"
